author,paper_count,share
Xin Zhou,8,0.11389521640091116
Longyue Wang,8,0.11389521640091116
Reut Tsarfaty,8,0.11389521640091116
Youzheng Wu,8,0.11389521640091116
Tim Vieira,8,0.11389521640091116
Yu Su,8,0.11389521640091116
Omer Levy,8,0.11389521640091116
Kang Min Yoo,8,0.11389521640091116
Dan Iter,8,0.11389521640091116
Jun Wang,8,0.11389521640091116
Sunayana Sitaram,8,0.11389521640091116
Mark Steedman,8,0.11389521640091116
Muhammad Abdul-Mageed,8,0.11389521640091116
Ying Shen,8,0.11389521640091116
Mohammad Taher Pilehvar,8,0.11389521640091116
Yiming Yang,8,0.11389521640091116
Hwee Tou Ng,8,0.11389521640091116
Nan Xu,8,0.11389521640091116
Guanting Dong,8,0.11389521640091116
Roee Aharoni,8,0.11389521640091116
Mario Giulianelli,8,0.11389521640091116
Louis-Philippe Morency,8,0.11389521640091116
Xunliang Cai,8,0.11389521640091116
Mark Dredze,8,0.11389521640091116
Yasheng Wang,8,0.11389521640091116
Hongtao Liu,8,0.11389521640091116
Lifeng Jin,8,0.11389521640091116
Raquel Fernández,8,0.11389521640091116
Derek F. Wong,8,0.11389521640091116
Shizhe Diao,8,0.11389521640091116
Dawei Zhu,8,0.11389521640091116
Yan Gao,8,0.11389521640091116
Hyunwoo Kim,8,0.11389521640091116
Baotian Hu,8,0.11389521640091116
Yangyi Chen,8,0.11389521640091116
Yang Zhang,8,0.11389521640091116
Dejing Dou,8,0.11389521640091116
Ming Zhang,8,0.11389521640091116
Xian Li,8,0.11389521640091116
Chenyan Xiong,8,0.11389521640091116
Vivek Gupta,8,0.11389521640091116
Gunhee Kim,8,0.11389521640091116
Naoaki Okazaki,8,0.11389521640091116
Xiaozhong Liu,8,0.11389521640091116
Rahul Gupta,8,0.11389521640091116
Yangyang Kang,8,0.11389521640091116
Yanfeng Wang,8,0.11389521640091116
Bei Chen,8,0.11389521640091116
Mihai Surdeanu,8,0.11389521640091116
Haiyang Yu,8,0.11389521640091116
Minsoo Kim,8,0.11389521640091116
Xuezhe Ma,8,0.11389521640091116
Zhijing Jin,8,0.11389521640091116
Bill Yuchen Lin,8,0.11389521640091116
Jing Liu,8,0.11389521640091116
Haoming Jiang,8,0.11389521640091116
Peifeng Li,8,0.11389521640091116
Peerat Limkonchotiwat,8,0.11389521640091116
Xiaonan Li,8,0.11389521640091116
Pengjie Ren,8,0.11389521640091116
Ellie Pavlick,8,0.11389521640091116
Douwe Kiela,8,0.11389521640091116
Xiaodong Liu,8,0.11389521640091116
Lin Gui,8,0.11389521640091116
Abdullatif Köksal,8,0.11389521640091116
Adina Williams,8,0.11389521640091116
Heming Xia,7,0.09965831435079728
Zhumin Chen,7,0.09965831435079728
Lin Qiu,7,0.09965831435079728
Hiroya Takamura,7,0.09965831435079728
Sang-goo Lee,7,0.09965831435079728
Jiaan Wang,7,0.09965831435079728
Sewon Min,7,0.09965831435079728
Hang Yan,7,0.09965831435079728
Wenlin Yao,7,0.09965831435079728
Samuel Cahyawijaya,7,0.09965831435079728
Yifan Song,7,0.09965831435079728
Leshem Choshen,7,0.09965831435079728
Kyle Lo,7,0.09965831435079728
Lan Du,7,0.09965831435079728
Sarah Wiegreffe,7,0.09965831435079728
Sarana Nutanong,7,0.09965831435079728
Sarath Chandar,7,0.09965831435079728
Jian Sun,7,0.09965831435079728
Lajanugen Logeswaran,7,0.09965831435079728
Yingxiu Zhao,7,0.09965831435079728
Monojit Choudhury,7,0.09965831435079728
Thomas Lukasiewicz,7,0.09965831435079728
Kaiyu Huang,7,0.09965831435079728
Jungo Kasai,7,0.09965831435079728
Yuan-Fang Li,7,0.09965831435079728
Thomas Scialom,7,0.09965831435079728
Huan Liu,7,0.09965831435079728
Peter Jansen,7,0.09965831435079728
Gabriel Stanovsky,7,0.09965831435079728
Yuki Arase,7,0.09965831435079728
Ruochen Xu,7,0.09965831435079728
Rui Zheng,7,0.09965831435079728
Wen-tau Yih,7,0.09965831435079728
Mo Yu,7,0.09965831435079728
Zhiliang Tian,7,0.09965831435079728
Zhijiang Guo,7,0.09965831435079728
Chen Zhao,7,0.09965831435079728
Dilek Hakkani-Tur,7,0.09965831435079728
Jiahao Liu,7,0.09965831435079728
Akiko Aizawa,7,0.09965831435079728
Bela Gipp,7,0.09965831435079728
Yinfei Yang,7,0.09965831435079728
Sweta Agrawal,7,0.09965831435079728
Piji Li,7,0.09965831435079728
Kalpesh Krishna,7,0.09965831435079728
Damai Dai,7,0.09965831435079728
Sungdong Kim,7,0.09965831435079728
Dan Goldwasser,7,0.09965831435079728
Lior Wolf,7,0.09965831435079728
Xiaoyang Wang,7,0.09965831435079728
Yuxiao Dong,7,0.09965831435079728
Kai Yu,7,0.09965831435079728
Yuhao Zhang,7,0.09965831435079728
Thien Nguyen,7,0.09965831435079728
Tao Shen,7,0.09965831435079728
Bo Li,7,0.09965831435079728
Binghuai Lin,7,0.09965831435079728
He He,7,0.09965831435079728
Hongyu Lin,7,0.09965831435079728
Wenting Zhao,7,0.09965831435079728
Enamul Hoque,7,0.09965831435079728
Bei Li,7,0.09965831435079728
Liwei Jiang,7,0.09965831435079728
Roi Reichart,7,0.09965831435079728
Dianbo Sui,7,0.09965831435079728
Yiwei Wang,7,0.09965831435079728
Xingshan Zeng,7,0.09965831435079728
Zhihan Zhang,7,0.09965831435079728
Yonatan Belinkov,7,0.09965831435079728
Wei Cheng,7,0.09965831435079728
Shi Feng,7,0.09965831435079728
Zhenwen Liang,7,0.09965831435079728
Yohan Jo,7,0.09965831435079728
Ming Zhou,7,0.09965831435079728
Wei Liu,7,0.09965831435079728
Sheng Zhang,7,0.09965831435079728
Vincent Ng,7,0.09965831435079728
Nazneen Rajani,7,0.09965831435079728
Niranjan Balasubramanian,7,0.09965831435079728
Xiaoling Wang,7,0.09965831435079728
Steven Schockaert,7,0.09965831435079728
Tomoyuki Kajiwara,7,0.09965831435079728
Anh Luu,7,0.09965831435079728
Yu Sun,7,0.09965831435079728
James Thorne,7,0.09965831435079728
Trevor Darrell,7,0.09965831435079728
Cho-Jui Hsieh,7,0.09965831435079728
Pan Zhou,7,0.09965831435079728
Matthias Grabmair,7,0.09965831435079728
Bowen Zhang,7,0.09965831435079728
Xiang Chen,7,0.09965831435079728
Daniel Hershcovich,7,0.09965831435079728
Daniel Khashabi,7,0.09965831435079728
Yefeng Zheng,7,0.09965831435079728
